County,FIPS code,County seat,Est.,Origin,Etymology,Population
LaSalle County,99,Ottawa,1831,Putnam and Tazewell County,"Sieur de la Salle (1643–1687), French explorer of the Great Lakes","109658"
Lawrence County,101,Lawrenceville,1821,Crawford and Edwards County,"Capt. James Lawrence (1781–1813), commander of the USS Chesapeake in the War of 1812.  Famous for his command ""Don't give up the ship!""","15280"
Lee County,103,Dixon,1839,Ogle County,"""Light Horse"" Henry Lee III (1756–1818), American Revolutionary War officer and ninth Governor of Virginia","34145"
Livingston County,105,Pontiac,1837,LaSalle and McLean County,"Edward Livingston (1764–1836), prominent jurist, Congressman from New York and Louisiana, and U.S. Secretary of State from 1831-33","35815"
Logan County,107,Lincoln,1839,Sangamon County,"John Logan, country doctor and early settler, and the father of John A. Logan","27987"
Macon County,115,Decatur,1829,Shelby County,"Nathaniel Macon (1758–1837), sixth Speaker of the United States House of Representatives and United States Senator from North Carolina","103998"
Macoupin County,117,Carlinville,1829,Greene County,"Native American word macoupin, meaning ""American lotus""","44967"
Madison County,119,Edwardsville,1812,St. Clair County and Randolph County,"James Madison (1751–1836), fourth President of the United States and principal author of the Constitution of the United States","265859"
Marion County,121,Salem,1823,Fayette and Jefferson County,"Francis Marion (c. 1732–1795), general in the American Revolutionary War known as ""The Swamp Fox""","37729"
Marshall County,123,Lacon,1839,Putnam County,"John Marshall (1755–1835), fourth and longest-serving Chief Justice of the United States, wrote opinion in Marbury v. Madison establishing the principle of judicial review","11742"
Mason County,125,Havana,1841,Tazewell and Menard County,"Named after Mason County, Kentucky, itself named after George Mason","13086"
Massac County,127,Metropolis,1843,Pope and Johnson County,"Fort Massac, a colonial-era fort on the Ohio River","14169"
McDonough County,109,Macomb,1826,Schuyler County,"Commodore Thomas Macdonough (1783–1825), commander of American naval forces at the Battle of Plattsburgh","27238"
McHenry County,111,Woodstock,1836,Cook and LaSalle County,"Major William McHenry (c. 1771–1835), officer during several campaigns against Native Americans and was a member of the Illinois legislature","310229"
McLean County,113,Bloomington,1830,Tazewell County,"John McLean (1791–1830), United States Representative and United States Senator from Illinois (the latter from 1824-25 and 1829-30)","170954"
Menard County,129,Petersburg,1839,Sangamon County,"Pierre Menard (1766–1844), prominent early settler and first Lieutenant Governor of Illinois","12297"
Mercer County,131,Aledo,1825,Schuyler County,"Hugh Mercer (1726–1777), British officer in the Seven Years' War and general in the Continental Army during the American Revolutionary War","15699"
Monroe County,133,Waterloo,1816,Randolph County and St. Clair County,"James Monroe (1758–1831), seventh United States Secretary of State, eighth United States Secretary of War, Governor of Virginia, and fifth President of the United States","34962"
Montgomery County,135,Hillsboro,1821,Bond and Madison County,"Gen. Richard Montgomery (1738–1775), brigadier-general in the Continental Army who led the unsuccessful invasion of Canada","28288"
Morgan County,137,Jacksonville,1823,Sangamon County,"Gen. Daniel Morgan (1736–1802), successful tactician in the American Revolutionary War and later United States Representative from Virginia","32915"
Moultrie County,139,Sullivan,1843,Shelby and Macon County,"Gen. William Moultrie (1730–1805), American Revolutionary War general and Governor of South Carolina","14526"
Ogle County,141,Oregon,1836,Jo Daviess,"Joseph Ogle (1737–1821), early settler in southwest Illinois, who helped found the first Methodist church in Illinois","51788"
Peoria County,143,Peoria,1825,Fulton County,The Peoria Native American tribe,"181830"
Perry County,145,Pinckneyville,1827,Randolph and Jackson County,"Cmdre. Oliver Hazard Perry (1785–1819), American naval officer who led the victorious American forces at the Battle of Lake Erie","20945"
Piatt County,147,Monticello,1841,DeWitt and Macon County,"James A. Piatt, the patriarch of a prominent settler family in the early history of the county","16673"
Pike County,149,Pittsfield,1821,"Madison, Bond, and Clark County","Zebulon Pike (1779–1813), early explorer of the American Southwest, namesake of Pikes Peak","14739"
Pope County,151,Golconda,1816,Gallatin and Johnson County,"Nathaniel Pope (1784–1850), early Delegate from Illinois Territory to Congress and judge on the United States District Court for the District of Illinois","3763"
Pulaski County,153,Mound City,1843,Alexander and Johnson County,"Gen. Casimir Pulaski (1745–1779), Polish American general of cavalry in the American Revolutionary War","5193"
Putnam County,155,Hennepin,1825,Fulton County,"Gen. Israel Putnam (1718–1790), commander of American forces at the Battle of Bunker Hill","5637"
Randolph County,157,Chester,1795,St. Clair County,"Edmund Randolph (1753–1813), first Attorney General of the United States, and briefly United States Secretary of State","30163"
Richland County,159,Olney,1841,Clay and Lawrence County,"Richland County, Ohio, itself named for its rich soil","15813"
Rock Island County,161,Rock Island,1831,Jo Daviess County,Rock Island,"144672"
Saline County,165,Harrisburg,1847,Gallatin County,The Saline River and salt springs in the county,"23768"
Sangamon County,167,Springfield,1821,Madison and Bond County,Sangamon River,"196343"
Schuyler County,169,Rushville,1825,Pike and Fulton County,"Gen. Philip Schuyler (1733–1804), American Revolutionary War general and United States Senator from New York","6902"
Scott County,171,Winchester,1839,Morgan County,"Scott County, Kentucky, itself named after Charles Scott","4949"
Shelby County,173,Shelbyville,1827,Fayette County,"Isaac Shelby (1750–1826), soldier in the American Revolutionary War and War of 1812; first and fifth Governor of Kentucky","20990"
St. Clair County,163,Belleville,1790,original two counties,"Arthur St. Clair (1737–1818), major general in the American Revolutionary War and first Governor of the Northwest Territory","257400"
Stark County,175,Toulon,1839,Knox and Putnam County,"Gen. John Stark (1728–1822), general in the American Revolutionary War, called the ""Hero of Bennington""","5400"
Stephenson County,177,Freeport,1837,Jo Daviess and Winnebago County,"Benjamin Stephenson (1769–1822), representative of Illinois Territory in the United States Congress from 1814 to 1816","44630"
Tazewell County,179,Pekin,1827,Sangamon County,"Littleton Waller Tazewell (1774–1860), United States Senator from (and later governor of) Virginia","131343"
Union County,181,Jonesboro,1818,Johnson County,The union of the United States,"17244"
Vermilion County,183,Danville,1826,Edgar County,The Vermilion River,"74188"
Wabash County,185,Mount Carmel,1824,Edwards County,The Wabash River,"11361"
Warren County,187,Monmouth,1825,Schuyler County,"Joseph Warren (1741–1775), played a role in American Patriot movements, a prominent early fatality in the American Revolutionary War","16835"
Washington County,189,Nashville,1818,St. Clair County,"George Washington (1732–1799), commander-in-chief of American forces in the American Revolutionary War and first President of the United States","13761"
Wayne County,191,Fairfield,1819,Edwards County,"Gen. ""Mad"" Anthony Wayne (1745–1796), major general in the United States Army in the American Revolutionary War and the Northwest Indian War","16179"
White County,193,Carmi,1815,Gallatin County,"Isaac White (1776–1811), resident of Illinois who enlisted in the Indiana militia and was killed at the Battle of Tippecanoe","13877"
Whiteside County,195,Morrison,1836,Jo Daviess and Henry County,"Samuel Whiteside (1783–1868), state legislator and militia leader","55691"
Will County,197,Joliet,1836,Cook and Iroquois County,"Conrad Will (1779–1835),[6] physician, local businessman and longtime member of the state legislature","696355"
Williamson County,199,Marion,1839,Franklin County,"Williamson County, Tennessee, which was named for Hugh Williamson","67153"
Winnebago County,201,Rockford,1836,Jo Daviess County,Winnebago Native Americans,"285350"
Woodford County,203,Eureka,1841,Tazewell and McLean County,"Woodford County, Kentucky, which was named for William Woodford","38467"
