County,Population[5],Etymology[3][4]
Montgomery,"28,288","Gen. Richard Montgomery (1738–1775), brigadier-general in the Continental Army who led the unsuccessful invasion of Canada"
Morgan,"32,915","Gen. Daniel Morgan (1736–1802), successful tactician in the American Revolutionary War and later United States Representative from Virginia"
Moultrie,"14,526","Gen. William Moultrie (1730–1805), American Revolutionary War general and Governor of South Carolina"
Ogle,"51,788","Joseph Ogle (1737–1821), early settler in southwest Illinois, who helped found the first Methodist church in Illinois"
Peoria,"181,830",The Peoria Native American tribe
Perry,"20,945","Cmdre. Oliver Hazard Perry (1785–1819), American naval officer who led the victorious American forces at the Battle of Lake Erie"
Piatt,"16,673","James A. Piatt, the patriarch of a prominent settler family in the early history of the county"
Pike,"14,739","Zebulon Pike (1779–1813), early explorer of the American Southwest, namesake of Pikes Peak"
Pope,"3,763","Nathaniel Pope (1784–1850), early Delegate from Illinois Territory to Congress and judge on the United States District Court for the District of Illinois"
Pulaski,"5,193","Gen. Casimir Pulaski (1745–1779), Polish American general of cavalry in the American Revolutionary War"
Putnam,"5,637","Gen. Israel Putnam (1718–1790), commander of American forces at the Battle of Bunker Hill"
Randolph,"30,163","Edmund Randolph (1753–1813), first Attorney General of the United States, and briefly United States Secretary of State"
Richland,"15,813","Richland County, Ohio, itself named for its rich soil"
Rock Island,"144,672",Rock Island
Saline,"23,768",The Saline River and salt springs in the county
Sangamon,"196,343",Sangamon River
Schuyler,"6,902","Gen. Philip Schuyler (1733–1804), American Revolutionary War general and United States Senator from New York"
Scott,"4,949","Scott County, Kentucky, itself named after Charles Scott"
Shelby,"20,990","Isaac Shelby (1750–1826), soldier in the American Revolutionary War and War of 1812; first and fifth Governor of Kentucky"
St. Clair,"257,400","Arthur St. Clair (1737–1818), major general in the American Revolutionary War and first Governor of the Northwest Territory"
Stark,"5,400","Gen. John Stark (1728–1822), general in the American Revolutionary War, called the ""Hero of Bennington"""
Stephenson,"44,630","Benjamin Stephenson (1769–1822), representative of Illinois Territory in the United States Congress from 1814 to 1816"
Tazewell,"131,343","Littleton Waller Tazewell (1774–1860), United States Senator from (and later governor of) Virginia"
Union,"17,244",The union of the United States
Vermilion,"74,188",The Vermilion River
Wabash,"11,361",The Wabash River
Warren,"16,835","Joseph Warren (1741–1775), played a role in American Patriot movements, a prominent early fatality in the American Revolutionary War"
Washington,"13,761","George Washington (1732–1799), commander-in-chief of American forces in the American Revolutionary War and first President of the United States"
Wayne,"16,179","Gen. ""Mad"" Anthony Wayne (1745–1796), major general in the United States Army in the American Revolutionary War and the Northwest Indian War"
White,"13,877","Isaac White (1776–1811), resident of Illinois who enlisted in the Indiana militia and was killed at the Battle of Tippecanoe"
Whiteside,"55,691","Samuel Whiteside (1783–1868), state legislator and militia leader"
Will,"696,355","Conrad Will (1779–1835),[6] physician, local businessman and longtime member of the state legislature"
Williamson,"67,153","Williamson County, Tennessee, which was named for Hugh Williamson"
Winnebago,"285,350",Winnebago Native Americans
Woodford,"38,467","Woodford County, Kentucky, which was named for William Woodford"
